CantidadDeBeneficiarios,CantidadBeneficioConsolidado,CantidadUltimobeneficio,CodigoDepartamentoAtencion,CodigoMunicipioAtencion,CondicionSexual,Discapacidad,EstadoBeneficiario,EstadoCivil,Etnia,FechaInscripcionBeneficiario,FechaUltimoBeneficioAsignado,Genero,NivelEscolaridad,NombreDepartamentoAtencion,NombreMunicipioAtencion,Pais,RangoEdad,TipoAsignacionBeneficio,TipoBeneficio,TipoDocumento,TipoPoblacion,RangoValorBeneficioConsolidadoAsignado,RangoValorUltimoBeneficioAsignado
1,1,1,86,86001,ND,NO,NO ACTIVO,SO,ND,2016-02-01,2015-01-01,Hombre,ND,PUTUMAYO,MOCOA,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,1.500.001 - 3.000.000,1.300.001 - 2.600.000
1,3,1,11,11001,H-HOMBRE,NO,ACTIVO,ND,ND,2016-05-01,2017-01-01,Hombre,ND,BOGOTA,BOGOTA D.C.,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,4,1,23,23001,ND,NO,ACTIVO,ND,ND,2016-02-01,2017-01-01,Mujer,ND,CORDOBA,MONTERIA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,5,1,13,13001,ND,NO,ACTIVO,ND,ND,2017-10-01,2018-01-01,Mujer,ND,BOLIVAR,CARTAGENA,ND,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,11,11001,ND,NO,ACTIVO,ND,ND,2016-01-01,2015-01-01,Mujer,ND,BOGOTA,BOGOTA D.C.,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,1.500.001 - 3.000.000,1.300.001 - 2.600.000
2,1,1,11,11001,ND,NO,ACTIVO,Sin Información,ND,2016-08-01,2016-01-01,Mujer,ND,BOGOTA,BOGOTA D.C.,ND,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,1.500.001 - 3.000.000,1.300.001 - 2.600.000
1,12,1,13,13001,ND,NO,NO ACTIVO,ND,ND,2017-12-01,2018-01-01,Mujer,ND,BOLIVAR,CARTAGENA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,11,11001,H-HOMBRE,NO,NO ACTIVO,UL,ND,2018-02-01,2018-01-01,Hombre,ND,BOGOTA,BOGOTA D.C.,COLOMBIA,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
2,4,1,08,08001,ND,ND,ACTIVO,Sin Información,ND,2017-11-01,2018-01-01,Hombre,ND,ATLANTICO,BARRANQUILLA,Colombia,50-65,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,10,1,08,08001,ND,ND,NO ACTIVO,ND,ND,2018-02-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,11,11001,ND,NO,ACTIVO,ND,ND,2017-02-01,2017-01-01,Mujer,ND,BOGOTA,BOGOTA D.C.,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,4,1,76,76109,ND,NO,ACTIVO,ND,ND,2018-05-01,2018-01-01,Mujer,ND,VALLE,BUENAVENTURA,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,AMBAS CONDICIONES,0 - 1.500.000,0 - 1.300.000
1,6,1,52,52250,ND,NO,ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2018-05-01,2018-01-01,Mujer,ND,NARIÑO,EL CHARCO,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,10,1,11,11001,ND,NO,ACTIVO,ND,ND,2018-02-01,2018-01-01,Mujer,ND,BOGOTA,BOGOTA D.C.,COLOMBIA,>65,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,3,1,08,08001,ND,ND,NO ACTIVO,ND,ND,2018-04-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
8,10,1,08,08001,M-MUJER,NO,NO ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2017-12-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,ND,NO,ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2016-05-01,2016-01-01,Mujer,ND,VALLE,CALI,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,3,1,08,08001,M-MUJER,NO,NO ACTIVO,SO,ND,2018-04-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,4,1,08,08001,ND,NO,ACTIVO,ND,ND,2017-11-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,AMBAS CONDICIONES,0 - 1.500.000,0 - 1.300.000
1,6,1,11,11001,ND,NO,ACTIVO,ND,ND,2018-02-01,2018-01-01,Mujer,ND,BOGOTA,BOGOTA D.C.,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,3,1,08,08001,ND,NO,ACTIVO,ND,ND,2016-02-01,2017-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,4,1,05,05001,ND,NO,ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2018-05-01,2018-01-01,Mujer,ND,ANTIOQUIA,MEDELLIN,COLOMBIA,>65,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
2,4,1,08,08001,H-HOMBRE,NO,NO ACTIVO,CA,ND,2018-04-01,2018-01-01,Hombre,ND,ATLANTICO,BARRANQUILLA,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,73,73504,ND,ND,NO ACTIVO,ND,INDIGENA,2016-02-01,2015-01-01,Hombre,ND,TOLIMA,ORTEGA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,1.500.001 - 3.000.000,1.300.001 - 2.600.000
2,3,1,11,11001,H-HOMBRE,NO,NO ACTIVO,UL,ND,2017-10-01,2018-01-01,Hombre,ND,BOGOTA,BOGOTA D.C.,COLOMBIA,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,11,11001,M-MUJER,NO,NO ACTIVO,UL,ND,2018-03-01,2018-01-01,Mujer,TECNICO,BOGOTA,BOGOTA D.C.,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,52,52835,ND,NO,NO ACTIVO,ND,ND,2016-05-01,2016-01-01,Mujer,ND,NARIÑO,SAN ANDRES DE TUMACO,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,3,1,08,08758,ND,NO,ACTIVO,ND,ND,2016-05-01,2017-01-01,Mujer,ND,ATLANTICO,SOLEDAD,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,12,1,13,13001,ND,ND,NO ACTIVO,ND,ND,2017-12-01,2018-01-01,Mujer,ND,BOLIVAR,CARTAGENA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,TI,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,11,1,08,08001,H-HOMBRE,NO,NO ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2017-12-01,2018-01-01,Hombre,ND,ATLANTICO,BARRANQUILLA,COLOMBIA,50-65,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
2,1,1,11,11001,ND,NO,NO ACTIVO,UL,ND,2016-01-01,2015-01-01,Hombre,TECNICO,BOGOTA,BOGOTA D.C.,COLOMBIA,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,1.500.001 - 3.000.000,1.300.001 - 2.600.000
1,6,1,52,52250,ND,NO,ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2018-05-01,2018-01-01,Mujer,ND,NARIÑO,EL CHARCO,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,7,1,20,20001,ND,ND,ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2018-02-01,2018-01-01,Hombre,ND,CESAR,VALLEDUPAR,COLOMBIA,>65,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
2,3,1,05,05001,ND,NO,ACTIVO,Sin Información,ND,2018-05-01,2018-01-01,Mujer,ND,ANTIOQUIA,MEDELLIN,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,12,1,13,13001,ND,ND,ACTIVO,ND,ND,2017-12-01,2018-01-01,Mujer,ND,BOLIVAR,CARTAGENA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,08,08001,ND,ND,ACTIVO,ND,ND,2017-12-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
6,12,1,13,13001,ND,NO,ACTIVO,Sin Información,ND,2017-12-01,2018-01-01,Mujer,ND,BOLIVAR,CARTAGENA,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,08,08001,ND,NO,NO ACTIVO,ND,ND,2016-02-01,2017-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,4,1,08,08001,ND,NO,NO ACTIVO,ND,ND,2018-04-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,COLOMBIA,>65,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,4,1,76,76109,ND,NO,ACTIVO,ND,ND,2018-05-01,2018-01-01,Mujer,ND,VALLE,BUENAVENTURA,ND,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,M-MUJER,NO,ACTIVO,SO,RAIZAL,2018-10-01,2018-01-01,Mujer,SECUNDARIA,VALLE,CALI,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,08,08001,ND,NO,NO ACTIVO,UL,AFROCOLOMBIANO – NEGRO,2016-02-01,2015-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,COLOMBIA,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,1.500.001 - 3.000.000,1.300.001 - 2.600.000
1,4,1,52,52835,ND,NO,NO ACTIVO,ND,ND,2018-03-01,2018-01-01,Mujer,ND,NARIÑO,SAN ANDRES DE TUMACO,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
5,3,1,76,76001,ND,NO,ACTIVO,Sin Información,AFROCOLOMBIANO – NEGRO,2018-05-01,2018-01-01,Mujer,ND,VALLE,CALI,ND,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
8,12,1,13,13001,ND,NO,NO ACTIVO,Sin Información,ND,2017-12-01,2018-01-01,Mujer,ND,BOLIVAR,CARTAGENA,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,TI,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,11,11001,ND,NO,NO ACTIVO,ND,ND,2018-11-01,2018-01-01,Hombre,ND,BOGOTA,BOGOTA D.C.,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,TI,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,76,76109,ND,NO,ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2018-05-01,2018-01-01,Mujer,ND,VALLE,BUENAVENTURA,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,AMBAS CONDICIONES,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,ND,NO,ACTIVO,ND,INDIGENA,2018-10-01,2018-01-01,Mujer,ND,VALLE,CALI,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000
1,3,1,11,11001,ND,NO,NO ACTIVO,ND,ND,2017-02-01,2017-01-01,Mujer,ND,BOGOTA,BOGOTA D.C.,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,4,1,25,25754,M-MUJER,NO,NO ACTIVO,SO,AFROCOLOMBIANO – NEGRO,2018-06-01,2018-01-01,Mujer,SECUNDARIA,CUNDINAMARCA,SOACHA,COLOMBIA,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,4,1,08,08001,ND,NO,NO ACTIVO,ND,ND,2017-12-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,76,76001,ND,NO,ACTIVO,ND,ND,2018-05-01,2018-01-01,Mujer,ND,VALLE,CALI,COLOMBIA,>65,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,ND,NO,ACTIVO,ND,ND,2018-10-01,2018-01-01,Mujer,ND,VALLE,CALI,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,AMBAS CONDICIONES,0 - 1.500.000,0 - 1.300.000
12,4,1,05,05001,M-MUJER,NO,NO ACTIVO,UL,ND,2018-03-01,2018-01-01,Mujer,ND,ANTIOQUIA,MEDELLIN,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,44,44001,ND,NO,ACTIVO,ND,ND,2016-02-01,2015-01-01,Mujer,ND,LA GUAJIRA,RIOHACHA,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,1.500.001 - 3.000.000,1.300.001 - 2.600.000
1,3,1,27,27001,ND,NO,NO ACTIVO,ND,ND,2017-11-01,2018-01-01,Mujer,ND,CHOCO,QUIBDO,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
2,3,1,76,76109,ND,ND,ACTIVO,Sin Información,AFROCOLOMBIANO – NEGRO,2018-05-01,2018-01-01,Mujer,ND,VALLE,BUENAVENTURA,COLOMBIA,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,13,13442,ND,NO,ACTIVO,UL,ND,2016-08-01,2016-01-01,Mujer,ND,BOLIVAR,MARIA LA BAJA,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,1.500.001 - 3.000.000,1.300.001 - 2.600.000
1,4,1,23,23001,ND,NO,NO ACTIVO,Sin Información,ND,2017-02-01,2017-01-01,Mujer,TECNOLOGO,CORDOBA,MONTERIA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,7,1,20,20001,ND,NO,ACTIVO,Sin Información,ND,2018-02-01,2018-01-01,Mujer,ND,CESAR,VALLEDUPAR,ND,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,3,1,41,41001,ND,NO,ACTIVO,ND,ND,2018-03-01,2018-01-01,Mujer,ND,HUILA,NEIVA,Colombia,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,11,1,11,11001,ND,NO,ACTIVO,ND,ND,2017-12-01,2018-01-01,Hombre,ND,BOGOTA,BOGOTA D.C.,ND,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,AMBAS CONDICIONES,0 - 1.500.000,0 - 1.300.000
1,2,1,08,08001,ND,NO,NO ACTIVO,ND,ND,2018-02-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,08,08001,ND,NO,NO ACTIVO,ND,ND,2016-05-01,2017-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000
1,4,1,13,13001,ND,NO,ACTIVO,ND,ND,2017-05-01,2018-01-01,Mujer,ND,BOLIVAR,CARTAGENA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,3,1,20,20032,ND,NO,NO ACTIVO,ND,ND,2016-05-01,2017-01-01,Mujer,ND,CESAR,ASTREA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,13,13433,ND,NO,ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2016-05-01,2017-01-01,Mujer,ND,BOLIVAR,MAHATES,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,47,47001,ND,ND,ACTIVO,ND,ND,2017-02-01,2017-01-01,Mujer,ND,MAGDALENA,SANTA MARTA,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,47,47030,ND,NO,ACTIVO,ND,ND,2016-02-01,2015-01-01,Hombre,ND,MAGDALENA,ALGARROBO,ND,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,AMBAS CONDICIONES,1.500.001 - 3.000.000,1.300.001 - 2.600.000
1,3,1,08,08001,ND,NO,ACTIVO,ND,ND,2017-12-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,3,1,44,44001,ND,NO,ACTIVO,ND,ND,2016-05-01,2017-01-01,Hombre,ND,LA GUAJIRA,RIOHACHA,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,13,13001,H-HOMBRE,NO,NO ACTIVO,ND,ND,2018-11-01,2018-01-01,Hombre,ND,BOLIVAR,CARTAGENA,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
2,4,1,08,08001,M-MUJER,NO,NO ACTIVO,SO,ND,2017-11-01,2018-01-01,Mujer,ND,ATLANTICO,BARRANQUILLA,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
3,7,1,76,76001,M-MUJER,NO,NO ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2018-05-01,2018-01-01,Mujer,SECUNDARIA,VALLE,CALI,COLOMBIA,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,5,1,05,05001,ND,ND,NO ACTIVO,ND,ND,2017-05-01,2018-01-01,Mujer,ND,ANTIOQUIA,MEDELLIN,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,3,1,66,66001,ND,NO,ACTIVO,ND,ND,2016-05-01,2017-01-01,Mujer,ND,RISARALDA,PEREIRA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,4,1,08,08001,H-HOMBRE,NO,NO ACTIVO,ND,ND,2017-10-01,2018-01-01,Hombre,ND,ATLANTICO,BARRANQUILLA,COLOMBIA,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,4,1,05,05001,ND,NO,NO ACTIVO,ND,ND,2017-05-01,2018-01-01,Mujer,ND,ANTIOQUIA,MEDELLIN,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,19,19318,ND,NO,ACTIVO,ND,AFROCOLOMBIANO – NEGRO,2016-05-01,2016-01-01,Hombre,ND,CAUCA,GUAPI,ND,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,TI,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,6,1,11,11001,ND,NO,ACTIVO,ND,ND,2018-05-01,2018-01-01,Mujer,ND,BOGOTA,BOGOTA D.C.,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76001,ND,NO,ACTIVO,ND,ND,2016-05-01,2016-01-01,Mujer,ND,VALLE,CALI,ND,30-49,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,AMBAS CONDICIONES,0 - 1.500.000,0 - 1.300.000
1,3,1,13,13001,ND,NO,NO ACTIVO,ND,ND,2017-12-01,2018-01-01,Mujer,ND,BOLIVAR,CARTAGENA,Colombia,18-29,GESTION PARA EL EMPLEO EFECTIVO,ESPECIE,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
